35.7126	25.409
36.1483	31.727
37.0744	42.182
37.9579	46.182
38.7525	58
39.8057	62.545
40.7621	69.182
32.3422	26.318
33.7827	35.136
34.8735	47.227
35.3343	55.455
35.8124	56.727
36.5473	63.955
37.2363	69.091
34.9318	26.364
36.0783	34.682
37.16	43.5
37.9536	50.318
38.5762	58.045
39.035	65.091
39.388	65.364
35.5907	33.5
36.0871	36.182
36.7643	44
38.2754	54.818
37.7207	59.818
38.5626	68.5
39.4053	71.727
50.367	27.429
51.5801	44.429
51.9774	41.048
52.7868	38.238
53.5595	52.905
54.7061	65.762
55.1851	63.143
46.5236	19.476
48.5885	33.238
49.2861	49.381
49.7304	52.095
50.1292	65.571
50.6025	48.952
51.7729	70.81
47.5649	21.952
49.2819	31.619
51.1062	54.048
52.1783	40.095
53.0164	58.143
53.4679	59.143
54.4506	63.095
52.0496	16.714
54.2247	27.524
55.5701	38.762
56.3719	56.143
57.2792	51.667
58.1917	67.333
59.3486	65.476
50.227	24.682
33.3681	34.5
54.0269	41.818
54.3451	47.909
54.7664	53.455
55.079	56.909
56.0124	65.364
51.395	19
53.216	32.727
54.3989	44.864
56.2155	48.545
56.6714	54.545
57.8235	62.364
58.0216	68
54.5312	20.318
55.301	33.5
55.8743	40.682
56.2492	56.318
56.738	57.727
56.908	67.182
57.2675	57
50.0973	22.091
52.321	31
54.4004	44.727
55.719	48.864
56.1854	58.227
57.1296	59.227
57.4758	64.455
37.9106	10.8
40.8596	26.067
42.2911	38.6
43.5047	44.2
45.4627	54.333
48.8607	68.2
50.9382	74.467
45.6024	11.267
50.6935	41.867
52.9583	55.6
53.5172	60.6
54.4862	70.133
55.7889	77.467
57.0091	75.2
42.9308	14.867
46.3064	29.8
47.1935	38
48.7846	47.067
50.1743	58.133
52.0366	67.733
53.3583	72.733
36.3359	15.533
38.2493	24.8
39.5505	34.667
41.569	41.533
43.2061	49.933
44.4602	65.2
47.3486	68.333
42.5466	6.625
44.5241	16.75
47.6523	32.813
49.7556	50.875
49.972	52.438
51.0696	50.188
53.9195	66.625
37.3531	8.813
42.1594	30.625
45.4122	41.5
46.2035	46.125
48.6198	62.25
50.4911	67.938
51.7816	71.25
39.4884	23
41.1614	31.263
43.5272	39.895
45.2538	47.421
46.6228	58.368
48.6844	61.579
49.7463	68.316
43.6782	26.474
47.9224	40.211
50.2665	47.316
52.0888	60.579
53.3591	71.737
54.4613	64.474
55.7784	64.053
34.6405	9.188
37.3858	17.313
39.0921	32
40.2858	34.375
42.3519	45
44.0228	54.625
46.0136	71.125
48.4507	22.579
53.7263	45.842
54.5796	62.105
54.8488	59.947
55.4413	65.895
56.068	61.842
56.6529	71.895
40.3965	21.263
42.0043	33.421
43.8808	41.263
45.1582	45
46.2147	51.158
48.9255	72.895
51.1017	71.368
44.2199	14.813
46.9053	30.188
49.421	43.625
50.6806	58.063
50.9451	54.438
51.88	54.813
54.054	75.375
