#MOS SD	MOS SDup
38.6	35.733
46.867	34.133
57.933	52.333
64.867	48.467
67.533	46.667
70.2	59.133
75.467	59.933
41.267	25.733
48.733	33.2
46.267	35.067
66.733	40.467
65.8	41.667
64.4	49.267
78.067	52.8
32.4	25.6
41.667	34.067
44.733	39.067
56.467	44.2
67.533	55.133
68.133	52.467
73.133	61.333
40.4	36.333
52.867	40.867
66.4	51.467
68.667	53.6
72.267	60.2
75.067	64.867
80	63.533
