#MOS HD	MOS SDup
25.409	29.933
31.727	29.467
42.182	34.867
46.182	40.333
58	37.867
62.545	41.133
69.182	45.667
26.318	24
35.136	29.4
47.227	33.267
55.455	40
56.727	43.133
63.955	42.733
69.091	48.733
26.364	23.667
34.682	29.6
43.5	32
50.318	35.467
58.045	45.533
65.091	46.533
65.364	49.4
33.5	26.667
36.182	29.333
44	39.6
54.818	42.067
59.818	44.333
68.5	49.8
71.727	56.8
